pwsid,pwsname,pctblack,pcthisp,percpov,medianincomehouse,perctbachlocal,percthighlocal,retpopsrvd,health,logpop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV,WY,newsystem,groundw,purchasedwater,fy2011,fy2012,fy2013,lhealth
PA4560009,SOMERSET CNTY QUEMAHONING SYST,0.9893090724945068,1.404180645942688,22.399999618530273,38177,22.899999618530273,88.9000015258789,2500,3,7.8240461349487305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA4560009,SOMERSET CNTY QUEMAHONING SYST,0.7708366513252258,1.6540870666503906,21.200000762939453,38204,23.600000381469727,89.5999984741211,2500,0,7.8240461349487305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
PA4560012,MEYERSDALE MUNI AUTH,0,0,17.200000762939453,29923,11.600000381469727,80.80000305175781,3175,0,8.06306266784668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4560012,MEYERSDALE MUNI AUTH,0.04510599747300148,0,15,32473,13.300000190734863,81.30000305175781,3019,0,8.012681007385254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PA4560012,MEYERSDALE MUNI AUTH,0,0,19.700000762939453,35517,11,80,3019,0,8.012681007385254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA4560012,MEYERSDALE MUNI AUTH,0,0,15.899999618530273,37414,12.699999809265137,81.9000015258789,3019,0,8.012681007385254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA4560013,WINDBER AREA AUTH,1.643248438835144,1.30983567237854,21,26842,16.799999237060547,80.5999984741211,9454,0,9.154192924499512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PA4560013,WINDBER AREA AUTH,0.023986568674445152,1.607100009918213,17.600000381469727,32024,16.399999618530273,85.69999694824219,9454,0,9.154192924499512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PA4560013,WINDBER AREA AUTH,0.36249396204948425,2.078298807144165,17.700000762939453,30176,15.199999809265137,86.80000305175781,9454,0,9.154192924499512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PA4560013,WINDBER AREA AUTH,0.29133284091949463,0.6312211751937866,13,34301,16,89.19999694824219,9454,0,9.154192924499512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
